Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
789;4900152206;"Data Base for Advances in Information Systems";journal;"23311622, 00950033, 15320936";0,587;Q2;61;19;88;1436;219;80;2,35;75,58;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-2022";"Computer Networks and Communications (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science"
790;21100199346;"Journal of Mathematical Cryptology";journal;"18622984, 18622976";0,585;Q2;19;19;75;516;90;72;1,27;27,16;Germany;Western Europe;"Walter de Gruyter GmbH";"2007-2022";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computer Science Applications (Q2)";"Computer Science; Mathematics"
791;19200156938;"Transforming Government: People, Process and Policy";journal;"17506166";0,585;Q2;43;52;96;2595;339;92;3,40;49,90;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2007-2022";"Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Public Administration (Q2)";"Computer Science; Decision Sciences; Social Sciences"
792;144698;"International Journal of Simulation Modelling";journal;"17264529";0,584;Q2;30;60;186;1538;543;185;3,10;25,63;Austria;Western Europe;"Vienna University of Technology";"2005-2022";"Computer Science Applications (Q2); Modeling and Simulation (Q2)";"Computer Science; Mathematics"
793;20608;"Journal of Global Information Management";journal;"10627375, 15337995";0,584;Q2;44;13;162;851;676;162;4,48;65,46;United States;Northern America;"IGI Publishing";"2002-2022";"Business and International Management (Q2); Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
794;5800179604;"Algorithms for Molecular Biology";journal;"17487188";0,583;Q2;39;16;67;574;102;67;1,26;35,88;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2022";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Molecular Biology (Q3); Structural Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
795;18895;"Journal of Advanced Transportation";journal;"01976729, 20423195";0,583;Q2;56;478;1102;20142;3257;1091;2,65;42,14;Egypt;Africa/Middle East;"Hindawi Limited";"1979-2022";"Automotive Engineering (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Mechanical Engineering (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Engineering"
796;22202;"Operations Research Letters";journal;"01676377";0,583;Q2;80;119;405;2326;560;403;1,25;19,55;Netherlands;Western Europe;"Elsevier";"1981-2022";"Applied Mathematics (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
797;21100205112;"Journal of software: Evolution and Process";journal;"20477481";0,582;Q2;35;97;233;5706;599;224;2,55;58,82;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2012-2022";"Software (Q2)";"Computer Science"
798;18300156719;"Journal of Building Performance Simulation";journal;"19401507, 19401493";0,581;Q2;48;57;143;2779;408;140;2,60;48,75;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2022";"Architecture (Q1); Building and Construction (Q2); Computer Science Applications (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
799;26146;"Visual Computer";journal;"14322315, 01782789";0,581;Q2;71;583;543;27941;2153;512;4,30;47,93;Germany;Western Europe;"Springer Verlag";"1985-2022";"Computer Graphics and Computer-Aided Design (Q2); Computer Vision and Pattern Recognition (Q2); Software (Q2)";"Computer Science"
800;21101049065;"International Journal of Interactive Multimedia and Artificial Intelligence";journal;"19891660";0,580;Q2;8;70;84;2856;248;79;2,95;40,80;Spain;Western Europe;"Universidad Internacional de la Rioja";"2021-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2); Statistics and Probability (Q2); Artificial Intelligence (Q3)";"Computer Science; Mathematics"
801;19515;"International Journal of Wireless Information Networks";journal;"10689605, 15728129";0,580;Q2;31;41;107;1706;327;100;3,68;41,61;United States;Northern America;"Springer New York";"1994-2022";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2)";"Computer Science; Engineering"
802;21100774788;"Journal of Electromagnetic Engineering and Science";journal;"26717255, 26717263";0,580;Q2;17;91;137;1606;283;137;2,36;17,65;South Korea;Asiatic Region;"The Korean Institute of Electromagnetic Engineering and Science";"2014, 2016-2022";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Radiation (Q2)";"Computer Science; Engineering; Physics and Astronomy"
803;19700177406;"Dynamic Games and Applications";journal;"21530785, 21530793";0,579;Q2;27;76;131;3012;206;128;1,37;39,63;United States;Northern America;"Springer Science + Business Media";"2011-2022";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Statistics and Probability (Q2)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
804;28380;"Natural Language Engineering";journal;"14698110, 13513249";0,578;Q2;59;46;110;3347;345;104;3,32;72,76;United Kingdom;Western Europe;"Cambridge University Press";"1995-2022";"Linguistics and Language (Q1); Software (Q2); Artificial Intelligence (Q3)";"Computer Science; Social Sciences"
805;57354;"Proceedings of the ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, PPOPP";conference and proceedings;"-";0,578;-;66;0;109;0;252;104;2,73;0,00;United States;Northern America;"Association for Computing Machinery (ACM)";"1988, 1990-1991, 1993, 1995, 1997, 1999, 2001, 2003, 2005-2020";"Software";"Computer Science"
806;19700186855;"ACM Transactions on Accessible Computing";journal;"19367228";0,577;Q2;34;28;63;2058;225;55;3,57;73,50;United States;Northern America;"Association for Computing Machinery (ACM)";"2008-2022";"Computer Science Applications (Q2); Human-Computer Interaction (Q3)";"Computer Science"
807;18800156711;"Advances in Mathematics of Communications";journal;"19305346, 19305338";0,576;Q2;25;31;140;862;150;137;1,05;27,81;United States;Northern America;"American Institute of Mathematical Sciences";"2007-2022";"Algebra and Number Theory (Q2); Applied Mathematics (Q2); Computer Networks and Communications (Q2); Discrete Mathematics and Combinatorics (Q2)";"Computer Science; Mathematics"
808;21101048389;"CCF Transactions on Pervasive Computing and Interaction";journal;"25245228, 2524521X";0,575;Q2;9;35;76;1504;187;72;2,59;42,97;Germany;Western Europe;"Springer Verlag";"2019-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Artificial Intelligence (Q3); Human-Computer Interaction (Q3)";"Computer Science"
809;79036;"Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing";journal;"23356936";0,574;Q2;78;38;145;0;286;141;2,31;0,00;United States;Northern America;"";"1996-2022";"Biomedical Engineering (Q2); Computational Theory and Mathematics (Q2); Medicine (miscellaneous) (Q2)";"Computer Science; Engineering; Medicine"
810;21100422153;"SoftwareX";journal;"23527110";0,574;Q2;33;206;429;5840;1560;428;3,74;28,35;Netherlands;Western Europe;"Elsevier BV";"2015-2022";"Computer Science Applications (Q2); Software (Q2)";"Computer Science"
811;21100286806;"IEEE Design and Test";journal;"21682356";0,573;Q2;82;107;234;1383;432;197;1,63;12,93;United States;Northern America;"IEEE Computer Society";"2013-2022";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Software (Q2)";"Computer Science; Engineering"
812;21100886391;"Computers";journal;"2073431X";0,572;Q2;32;184;362;8406;1299;357;3,51;45,68;Switzerland;Western Europe;"MDPI AG";"2012-2022";"Computer Networks and Communications (Q2); Human-Computer Interaction (Q3)";"Computer Science"
813;14500154734;"Evolutionary Intelligence";journal;"18645917, 18645909";0,572;Q2;30;290;315;12595;1107;308;3,17;43,43;Germany;Western Europe;"Springer Verlag";"2008-2022";"Computer Vision and Pattern Recognition (Q2); Mathematics (miscellaneous) (Q2); Artificial Intelligence (Q3); Cognitive Neuroscience (Q3)";"Computer Science; Mathematics; Neuroscience"
814;29581;"Journal of Computational Biology";journal;"15578666, 10665277";0,571;Q2;102;101;363;3751;617;350;1,78;37,14;United States;Northern America;"Mary Ann Liebert Inc.";"1994-2022";"Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Modeling and Simulation (Q2); Genetics (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
815;4900153220;"International Journal on Semantic Web and Information Systems";journal;"15526283, 15526291";0,569;Q2;34;55;68;2436;243;68;4,15;44,29;United States;Northern America;"IGI Publishing";"2005-2022";"Computer Networks and Communications (Q2); Information Systems (Q2)";"Computer Science"
816;12100154406;"Transactions on Architecture and Code Optimization";journal;"15443973, 15443566";0,569;Q2;43;76;177;4525;374;176;1,90;59,54;United States;Northern America;"Association for Computing Machinery (ACM)";"2004-2022";"Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science"
817;19700182406;"International Journal of Intelligent Computing and Cybernetics";journal;"1756378X, 17563798";0,568;Q2;23;48;85;1849;373;85;5,57;38,52;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2022";"Computer Science (miscellaneous) (Q2)";"Computer Science"
818;12813;"Journal of Information Science";journal;"01655515, 17416485";0,568;Q2;73;190;218;10633;705;218;2,95;55,96;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2022";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
819;21100801725;"VINE Journal of Information and Knowledge Management Systems";journal;"20595891";0,568;Q2;37;111;153;8616;604;153;3,64;77,62;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2022";"Library and Information Sciences (Q1); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
820;22313;"Performance Evaluation";journal;"01665316";0,567;Q2;69;20;124;750;189;120;1,41;37,50;Netherlands;Western Europe;"Elsevier";"1981-2022";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Mathematics"
821;26132;"Journal of Computer Science and Technology";journal;"18604749, 10009000";0,566;Q2;54;91;273;3547;645;259;2,27;38,98;United States;Northern America;"Springer New York";"1986-2022";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
822;25518;"IEEE Computer Graphics and Applications";journal;"15581756, 02721716";0,562;Q2;99;79;231;1091;594;207;2,46;13,81;United States;Northern America;"IEEE Computer Society";"1981-2022";"Computer Graphics and Computer-Aided Design (Q2); Software (Q2)";"Computer Science"
823;5800173381;"International Journal of Distributed Sensor Networks";journal;"15501329, 15501477";0,562;Q2;65;98;618;3677;1918;611;2,99;37,52;United States;Northern America;"SAGE Publications Inc.";"2006-2022";"Computer Networks and Communications (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering"
824;12360;"International Journal of General Systems";journal;"03081079, 15635104";0,561;Q2;51;38;124;1785;290;119;2,23;46,97;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2022";"Computer Science Applications (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Modeling and Simulation (Q2); Theoretical Computer Science (Q3)";"Computer Science; Engineering; Mathematics"
825;21141;"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME";journal;"00220434";0,561;Q2;97;103;436;3666;839;435;1,87;35,59;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"1971-2022";"Computer Science Applications (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Instrumentation (Q2); Mechanical Engineering (Q2)";"Computer Science; Engineering; Physics and Astronomy"
826;21100935071;"Journal of Internet Services and Information Security";journal;"21822077, 21822069";0,561;Q2;10;33;65;1074;259;63;4,63;32,55;South Korea;Asiatic Region;"Innovative Information Science and Technology Research Group";"2019-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2); Software (Q2)";"Computer Science; Engineering"
827;25620;"Journal of Logic and Computation";journal;"0955792X, 1465363X";0,561;Q2;56;43;210;1615;187;198;0,83;37,56;United Kingdom;Western Europe;"Oxford University Press";"1990-2022";"Arts and Humanities (miscellaneous) (Q1); Hardware and Architecture (Q2); Logic (Q2); Software (Q2); Theoretical Computer Science (Q3)";"Arts and Humanities; Computer Science; Mathematics"
828;21100199856;"Journal of Information Technology Education:Research";journal;"15393585, 15479714";0,560;Q2;27;25;119;2162;378;119;3,92;86,48;United States;Northern America;"Informing Science Institute";"2011-2022";"Computer Science (miscellaneous) (Q2); Education (Q2); E-learning (Q2)";"Computer Science; Social Sciences"
829;21101042013;"Journal of Educational Data Mining";journal;"21572100";0,559;Q2;7;13;32;694;95;31;2,33;53,38;United States;Northern America;"International Educational Data Mining Society";"2020-2022";"Computer Science Applications (Q2); Education (Q2); Artificial Intelligence (Q3)";"Computer Science; Social Sciences"
830;21100915697;"Journal of Special Education Technology";journal;"23813121, 01626434";0,557;Q2;39;76;79;2909;219;79;2,77;38,28;United States;Northern America;"SAGE Publications Inc.";"1996-2022";"Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
831;21100972600;"Technology Innovation Management Review";journal;"19270321";0,556;Q2;15;8;200;262;543;165;1,78;32,75;Canada;Northern America;"Carleton University";"2019-2022";"Computer Science Applications (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science"
832;21101082067;"Digital Government: Research and Practice";journal;"26390175";0,554;Q2;12;28;68;1232;212;65;3,12;44,00;United States;Northern America;"Association for Computing Machinery (ACM)";"2020-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2); Public Administration (Q2); Software (Q2)";"Computer Science; Social Sciences"
833;17800156712;"International Journal of Computational Intelligence Systems";journal;"18756891, 18756883";0,554;Q2;49;113;437;4597;1434;435;3,47;40,68;Switzerland;Western Europe;"Springer International Publishing AG";"2008-2022";"Computational Mathematics (Q2); Computer Science (miscellaneous) (Q2)";"Computer Science; Mathematics"
834;21805;"Mathematical Methods of Operations Research";journal;"14325217, 14322994";0,554;Q2;51;39;116;1179;155;114;1,35;30,23;Germany;Western Europe;"Physica-Verlag";"1996-2022";"Mathematics (miscellaneous) (Q2); Software (Q2); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Mathematics"
835;4700152858;"ACM Transactions on Storage";journal;"15533077";0,553;Q2;47;36;79;2142;179;68;2,56;59,50;United States;Northern America;"Association for Computing Machinery (ACM)";"2005-2022";"Hardware and Architecture (Q2)";"Computer Science"
836;25626;"Multimedia Systems";journal;"14321882, 09424962";0,553;Q2;63;196;199;10491;737;191;4,15;53,53;Germany;Western Europe;"Springer Verlag";"1993-2000, 2002-2022";"Media Technology (Q1); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)";"Computer Science; Engineering"
837;19700186867;"Journal of Ambient Intelligence and Smart Environments";journal;"18761364";0,552;Q2;35;31;100;1294;247;79;1,62;41,74;Netherlands;Western Europe;"IOS Press BV";"2009-2022";"Software (Q2)";"Computer Science"
838;19700174683;"International Journal for Numerical Methods in Biomedical Engineering";journal;"20407947, 20407939";0,550;Q2;70;109;293;5889;822;293;2,41;54,03;United States;Northern America;"Wiley-Blackwell";"2010-2022";"Applied Mathematics (Q2); Biomedical Engineering (Q2); Computational Theory and Mathematics (Q2); Modeling and Simulation (Q2); Software (Q2); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Mathematics"
839;144749;"International Journal of Advanced Robotic Systems";journal;"17298806";0,550;Q2;56;68;658;2617;1862;656;2,77;38,49;United States;Northern America;"SAGE Publications Inc.";"2004-2022";"Computer Science Applications (Q2); Artificial Intelligence (Q3); Software (Q3)";"Computer Science"
840;21100286950;"Heritage Science";journal;"20507445";0,547;Q2;29;201;371;10096;982;365;2,33;50,23;United States;Northern America;"Springer Science + Business Media";"2013-2022";"Archeology (Q1); Archeology (arts and humanities) (Q1); Conservation (Q1); Chemistry (miscellaneous) (Q2); Computer Science Applications (Q2); Materials Science (miscellaneous) (Q2); Spectroscopy (Q2)";"Arts and Humanities; Chemistry; Computer Science; Materials Science; Social Sciences"
841;12795;"Perception";journal;"14684233, 03010066";0,546;Q3;99;68;235;2713;369;223;1,64;39,90;United States;Northern America;"SAGE Publications Inc.";"1972-2022";"Ophthalmology (Q2); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
842;74910;"Proceedings - Symposium on Computer Arithmetic";conference and proceedings;"-";0,546;-;33;18;80;367;121;74;1,19;20,39;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1972, 1975, 1983, 1985, 1987, 1989, 1991, 1993, 1995, 1997, 1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015, 2018-2021";"Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
843;21100897717;"Informatics";journal;"22279709";0,545;Q2;23;99;194;6158;712;192;3,92;62,20;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2014-2022";"Communication (Q2); Computer Networks and Communications (Q2); Human-Computer Interaction (Q3)";"Computer Science; Social Sciences"
844;5000154502;"International Journal of Medical Robotics and Computer Assisted Surgery";journal;"1478596X, 14785951";0,545;Q2;59;123;355;3874;1045;355;2,78;31,50;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2004-2022";"Biophysics (Q2); Computer Science Applications (Q2); Surgery (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
845;20725;"Wireless Personal Communications";journal;"1572834X, 09296212";0,545;Q2;75;1080;2688;38457;8332;2677;3,16;35,61;Netherlands;Western Europe;"Springer Netherlands";"1994-2022";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
846;24304;"Computer Supported Cooperative Work";journal;"09259724, 15737551";0,544;Q2;71;35;77;2565;247;71;3,49;73,29;Netherlands;Western Europe;"Springer Netherlands";"1992-2022";"Computer Science (miscellaneous) (Q2)";"Computer Science"
847;21101080424;"Digital Threats: Research and Practice";journal;"25765337";0,543;Q2;6;42;59;1731;143;52;2,42;41,21;United States;Northern America;"Association for Computing Machinery (ACM)";"2020-2022";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Safety Research (Q2); Software (Q3)";"Computer Science; Social Sciences"
848;21100202719;"Journal of Systems and Information Technology";journal;"17588847, 13287265";0,543;Q2;31;21;50;1767;175;49;2,72;84,14;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2004, 2007-2022";"Computer Science (miscellaneous) (Q2); Information Systems (Q2)";"Computer Science"
849;19900192734;"Advances and Applications in Bioinformatics and Chemistry";journal;"11786949";0,542;Q2;17;7;15;446;59;15;4,42;63,71;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2008-2022";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Computer Science Applications (Q2); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science"
850;19400157014;"Journal on Computing and Cultural Heritage";journal;"15564711, 15564673";0,542;Q2;31;58;124;3080;376;123;3,00;53,10;United States;Northern America;"Association for Computing Machinery (ACM)";"2008-2022";"Conservation (Q1); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Information Systems (Q2)";"Arts and Humanities; Computer Science"
851;13715;"Entropy";journal;"10994300";0,541;Q2;91;1837;4339;85685;13220;4256;3,04;46,64;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"1999-2022";"Electrical and Electronic Engineering (Q2); Information Systems (Q2); Mathematical Physics (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
852;25028;"Computers and Graphics";journal;"00978493";0,539;Q2;79;205;392;8806;974;336;2,62;42,96;United Kingdom;Western Europe;"Elsevier Ltd.";"1975-1980, 1982-2022";"Computer Graphics and Computer-Aided Design (Q2); Computer Vision and Pattern Recognition (Q2); Engineering (miscellaneous) (Q2); Signal Processing (Q2); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science; Engineering"
853;21100814051;"Information Discovery and Delivery";journal;"23986247";0,538;Q2;20;45;81;2769;270;77;3,25;61,53;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2022";"Computer Science (miscellaneous) (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
854;21100897215;"Revista de Educacion a Distancia";journal;"15787680";0,538;Q2;12;18;94;1129;227;93;2,67;62,72;Spain;Western Europe;"Universidad de Murcia";"2018-2021";"Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
855;20013;"Software Quality Journal";journal;"09639314, 15731367";0,538;Q3;48;47;145;2135;357;127;2,48;45,43;United States;Northern America;"Springer New York";"1992-1999, 2001-2022";"Media Technology (Q1); Safety, Risk, Reliability and Quality (Q2); Software (Q3)";"Computer Science; Engineering"
856;20573;"Theory of Computing Systems";journal;"14330490, 14324350";0,538;Q2;46;50;193;1428;180;177;0,79;28,56;United States;Northern America;"Springer New York";"1996-2022";"Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
857;17953;"Biological Cybernetics";journal;"14320770, 03401200";0,537;Q2;101;46;119;2601;299;101;1,64;56,54;Germany;Western Europe;"Springer Verlag";"1961-2022";"Biotechnology (Q2); Computer Science (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
858;5000157801;"Mathematical Structures in Computer Science";journal;"09601295, 14698072";0,537;Q2;44;35;135;1211;120;126;0,82;34,60;United Kingdom;Western Europe;"Cambridge University Press";"1991-2022";"Computer Science Applications (Q2); Mathematics (miscellaneous) (Q2)";"Computer Science; Mathematics"
859;2900147403;"Optical Switching and Networking";journal;"15734277";0,537;Q2;30;30;107;1139;229;104;2,63;37,97;Netherlands;Western Europe;"Elsevier";"1970, 2005-2023";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
860;21100799933;"SLAS Technology";journal;"24726311, 24726303";0,537;Q2;25;47;195;61;472;171;2,44;1,30;United States;Northern America;"SAGE Publications Inc.";"2017-2022";"Computer Science Applications (Q2); Medical Laboratory Technology (Q2)";"Computer Science; Health Professions"
861;28704;"Modelling and Simulation in Materials Science and Engineering";journal;"09650393, 1361651X";0,536;Q2;87;121;323;6724;686;320;1,89;55,57;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1992-2022";"Computer Science Applications (Q2); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Mechanics of Materials (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
862;21100205111;"Computational Methods and Function Theory";journal;"16179447";0,535;Q2;18;73;129;1602;221;121;2,11;21,95;Germany;Western Europe;"Springer Verlag";"2003-2005, 2007-2022";"Analysis (Q2); Applied Mathematics (Q2); Computational Theory and Mathematics (Q2)";"Computer Science; Mathematics"
863;21100203119;"International Journal of Bio-Inspired Computation";journal;"17580374, 17580366";0,535;Q2;42;45;139;1787;438;138;3,22;39,71;Switzerland;Western Europe;"Inderscience Publishers";"2009-2022";"Computer Science (miscellaneous) (Q2); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
864;25053;"IT Professional";journal;"15209202";0,535;Q2;57;83;247;1245;601;224;2,39;15,00;United States;Northern America;"IEEE Computer Society";"1999-2022";"Computer Science Applications (Q2); Hardware and Architecture (Q3); Software (Q3)";"Computer Science"
865;12320;"Journal of the Optical Society of America A: Optics and Image Science, and Vision";journal;"15208532, 10847529";0,535;Q2;169;316;807;10799;1611;791;1,97;34,17;United States;Northern America;"Optica Publishing Group";"1979, 1984-2022";"Atomic and Molecular Physics, and Optics (Q2); Computer Vision and Pattern Recognition (Q2); Electronic, Optical and Magnetic Materials (Q2); Medicine (miscellaneous) (Q2)";"Computer Science; Materials Science; Medicine; Physics and Astronomy"
866;144639;"Information Technology and Management";journal;"1385951X, 15737667";0,534;Q2;42;41;48;2933;166;47;3,44;71,54;Netherlands;Western Europe;"Kluwer Academic Publishers";"2005-2022";"Business, Management and Accounting (miscellaneous) (Q2); Communication (Q2); Information Systems (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
867;145095;"Journal of Logic, Language and Information";journal;"09258531";0,532;Q2;33;40;68;1440;67;65;0,84;36,00;Netherlands;Western Europe;"Springer Netherlands";"1992-2002, 2005-2022";"Linguistics and Language (Q1); Philosophy (Q1); Computer Science (miscellaneous) (Q2)";"Arts and Humanities; Computer Science; Social Sciences"
868;4900152803;"Journal of Systems Science and Complexity";journal;"10096124";0,532;Q2;38;131;335;4254;741;334;2,22;32,47;United States;Northern America;"Springer New York";"2006-2022";"Computer Science (miscellaneous) (Q2); Information Systems (Q2)";"Computer Science"
869;21101048366;"Energy Informatics";journal;"25208942";0,531;Q2;16;68;113;2819;343;110;3,52;41,46;United Kingdom;Western Europe;"SpringerOpen";"2018-2022";"Computer Networks and Communications (Q2); Energy Engineering and Power Technology (Q2); Information Systems (Q2)";"Computer Science; Energy"
870;21100265343;"CALL-EJ";journal;"21879036";0,528;Q2;11;60;91;3157;270;90;3,36;52,62;Japan;Asiatic Region;"";"2013-2022";"Linguistics and Language (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
871;15026;"Flow Measurement and Instrumentation";journal;"09555986";0,528;Q2;67;129;450;4623;1115;450;2,51;35,84;United Kingdom;Western Europe;"Elsevier BV";"1989-2022";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
872;21100942171;"Infrastructures";journal;"24123811";0,527;Q2;23;172;365;9394;1162;364;3,01;54,62;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2016-2022";"Building and Construction (Q2); Civil and Structural Engineering (Q2); Computer Science Applications (Q2); Geotechnical Engineering and Engineering Geology (Q2); Materials Science (miscellaneous) (Q2)";"Computer Science; Earth and Planetary Sciences; Engineering; Materials Science"
873;21100465416;"Nonlinear Engineering";journal;"21928029, 21928010";0,527;Q2;28;71;160;2375;1006;160;8,78;33,45;Germany;Western Europe;"de Gruyter";"2012-2022";"Chemical Engineering (miscellaneous) (Q2); Computer Networks and Communications (Q2); Engineering (miscellaneous) (Q2); Modeling and Simulation (Q2)";"Chemical Engineering; Computer Science; Engineering; Mathematics"
874;21100229165;"Research in Learning Technology";journal;"21567077, 21567069";0,527;Q2;34;14;104;502;291;103;2,86;35,86;United Kingdom;Western Europe;"Association for Learning Technology";"2012-2022";"Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
875;28494;"International Journal of Computer Mathematics";journal;"00207160, 10290265";0,526;Q2;54;138;433;4602;845;430;1,97;33,35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1964, 1968, 1971-1972, 1974-2022";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2)";"Computer Science; Mathematics"
